"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.018142922E2,4.771779442E1,1.770989489E1,1.246528513E2,1.134934235E1,1.082679496E1,1.200181241E1,1.200181241E1
2.028142866E2,4.771789156E1,1.770992461E1,1.243123780E2,1.134934235E1,3.375583033E2,1.200181241E1,1.200181241E1
2.038142802E2,4.771794181E1,1.770983834E1,1.238732098E2,1.237317181E1,3.131216125E2,1.200181241E1,1.200181241E1
2.048142751E2,4.771798098E1,1.770973676E1,1.233519233E2,1.237317181E1,2.931346741E2,1.200181241E1,1.200181241E1
2.058142686E2,4.771799209E1,1.770959337E1,1.225903525E2,1.045288467E1,2.622583008E2,1.200181241E1,1.200181241E1
2.068142635E2,4.771796472E1,1.770946264E1,1.216417161E2,1.244597530E1,2.391146240E2,1.200181241E1,1.200181241E1
2.078142580E2,4.771791406E1,1.770937207E1,1.207342213E2,1.150682068E1,2.198926392E2,1.200181241E1,1.200181241E1
2.088142523E2,4.771778288E1,1.770929030E1,1.207256633E2,1.244597530E1,1.800000000E2,1.200181241E1,1.200181241E1
2.098142458E2,4.771762796E1,1.770935365E1,1.215518720E2,1.335529709E1,1.420398712E2,1.200181241E1,1.200181241E1
2.108142394E2,4.771759568E1,1.770950037E1,1.227074588E2,1.336037064E1,1.232590179E2,8.001208274E0,8.001208274E0
2.118142337E2,4.771759543E1,1.770950094E1,1.237717419E2,1.448205662E1,1.232590179E2,1.986445293E1,1.986445293E1
2.128142277E2,4.771739604E1,1.770982963E1,1.242635019E2,1.448205662E1,1.696765289E2,8.001208274E0,8.001208274E0
2.138142215E2,4.771722636E1,1.770990253E1,1.244834741E2,1.587305832E1,1.696765289E2,8.001208274E0,8.001208274E0
2.148142159E2,4.771706009E1,1.770996453E1,1.244408855E2,1.607283974E1,1.584919891E2,8.001208274E0,8.001208274E0
2.158142099E2,4.771690479E1,1.771003695E1,1.237534555E2,1.773813248E1,1.581376038E2,8.001208274E0,8.001208274E0
2.168142049E2,4.771674597E1,1.771010403E1,1.228073169E2,1.901778793E1,1.576135254E2,8.001208274E0,8.001208274E0
2.178141993E2,4.771658065E1,1.771018081E1,1.221994218E2,1.901778793E1,1.550561371E2,8.001208274E0,8.001208274E0
2.188141924E2,4.771638527E1,1.771028431E1,1.216432862E2,2.002117538E1,1.520296936E2,8.001208274E0,8.001208274E0
2.198141865E2,4.771624449E1,1.771037945E1,1.210585574E2,2.002117538E1,1.476450500E2,8.001208274E0,8.001208274E0
2.208141810E2,4.771608947E1,1.771050647E1,1.211303137E2,2.032911491E1,1.428224945E2,8.001208274E0,8.001208274E0
2.218141751E2,4.771594433E1,1.771065999E1,1.214161850E2,2.053364944E1,1.418029633E2,8.001208274E0,8.001208274E0
2.228141692E2,4.771577924E1,1.771083633E1,1.214952955E2,2.053364944E1,1.412545776E2,8.001208274E0,8.001208274E0
2.238141642E2,4.771561731E1,1.771102617E1,1.214458991E2,2.108444786E1,1.376389618E2,8.001208274E0,8.001208274E0
2.248141577E2,4.771548414E1,1.771123189E1,1.214979510E2,2.108444786E1,1.308689880E2,8.001208274E0,8.001208274E0
2.258141519E2,4.771536611E1,1.771143107E1,1.214328025E2,2.039501762E1,1.261703262E2,8.001208274E0,8.001208274E0
2.268141466E2,4.771528829E1,1.771164069E1,1.213982039E2,2.039501762E1,1.243173676E2,8.001208274E0,8.001208274E0
2.278141401E2,4.771520822E1,1.771186282E1,1.212787284E2,2.009938622E1,1.208866959E2,8.001208274E0,8.001208274E0
2.288141335E2,4.771514305E1,1.771208852E1,1.209067451E2,1.915583229E1,1.123545609E2,8.001208274E0,8.001208274E0
2.298141279E2,4.771507672E1,1.771228102E1,1.207391116E2,1.739132309E1,1.123545609E2,8.001208274E0,8.001208274E0
2.308141232E2,4.771502041E1,1.771243145E1,1.208091952E2,1.229118347E1,1.075103455E2,8.001208274E0,8.001208274E0
2.318141162E2,4.771497578E1,1.771256319E1,1.208704348E2,1.229118347E1,1.058058701E2,8.001208274E0,8.001208274E0
2.328141105E2,4.771480634E1,1.771261847E1,1.208281228E2,9.410634995E0,1.366484680E2,8.001208274E0,8.001208274E0
2.338141043E2,4.771478181E1,1.771270058E1,1.206458444E2,9.410634995E0,1.280039520E2,8.001208274E0,8.001208274E0
2.348140982E2,4.771476010E1,1.771281530E1,1.203220456E2,1.179220486E1,1.142758331E2,8.001208274E0,8.001208274E0
2.358140931E2,4.771477626E1,1.771282706E1,1.199227910E2,1.220001984E1,1.142758331E2,1.959613260E1,1.959613260E1
2.368140868E2,4.771465635E1,1.771316401E1,1.195685605E2,1.342161369E1,1.499318390E2,8.001208274E0,8.001208274E0
2.378140810E2,4.771453987E1,1.771328339E1,1.192212767E2,1.342161369E1,1.550089569E2,8.001208274E0,8.001208274E0
2.388140755E2,4.771441561E1,1.771339862E1,1.191897481E2,1.503549004E1,1.550089569E2,8.001208274E0,8.001208274E0
2.398140695E2,4.771428123E1,1.771350452E1,1.195242051E2,1.731991577E1,1.552424011E2,8.001208274E0,8.001208274E0
2.408140637E2,4.771410086E1,1.771359632E1,1.197626420E2,2.028932571E1,1.565621033E2,8.001208274E0,8.001208274E0
2.418140578E2,4.771392762E1,1.771370696E1,1.200625858E2,2.179448128E1,1.565621033E2,8.001208274E0,8.001208274E0
2.428140517E2,4.771375666E1,1.771381093E1,1.202162451E2,2.179448128E1,1.565621033E2,8.001208274E0,8.001208274E0
2.438140472E2,4.771357779E1,1.771393571E1,1.202723428E2,2.200307274E1,1.565621033E2,8.001208274E0,8.001208274E0
2.448140404E2,4.771338703E1,1.771407333E1,1.202896118E2,2.218845940E1,1.558165741E2,8.001208274E0,8.001208274E0
2.458140342E2,4.771322823E1,1.771418406E1,1.204322796E2,2.319469070E1,1.539838867E2,8.001208274E0,8.001208274E0
